functionName,scalingFactor,engine,downloadTime,executionTime,totalTime,queryID,sf_executionTime,sf_compilationTime
selection,SF10,spark,1.38008379936218,11.0927104949951,12.4727942943573,None,None,None
sort,SF1,spark,0.201507568359375,3.92615294456482,4.12766051292419,None,None,None
sort,SF10,spark,1.20438480377197,18.39484333992,19.599228143692,None,None,None
selection,SF1,spark,5.37793970108032,2.04728531837463,7.42522501945496,None,None,None
filter,SF1,spark,0.326191663742065,1.87560892105103,2.20180058479309,None,None,None
sort,SF1,spark,0.266207695007324,2.60654973983765,2.87275743484497,None,None,None
groupby,SF1,spark,0.25556755065918,2.2238130569458,2.47938060760498,None,None,None
join,SF1,spark,1.09352946281433,1.76890397071838,2.86243343353271,None,None,None
selection,SF100,snowpandas,0.45293116569519,95.9071905612946,96.3601217269897,01b44955-0202-aab8-0000-0002b5065a99,18326,294
filter,SF100,snowpandas,0.211134433746338,197.469600200653,197.680734634399,01b44956-0202-ab25-0000-0002b5063a9d,47903,212
sort,SF100,snowpandas,0.363542079925537,466.147761583328,466.511303663254,01b4495a-0202-aab8-0000-0002b5065aa5,23871,210
groupby,SF100,snowpandas,0.342419147491455,17.4234538078308,17.7658729553223,01b44961-0202-aab8-0000-0002b5065aad,10341,278
columnopassignment,SF100,snowpandas,0.168926239013672,396.087846279144,396.256772518158,01b44962-0202-aaba-0000-0002b5064a2d,12356,1123
selection,SF100,spark,20.9162962436676,115.196752548218,136.113048791885,None,None,None
filter,SF100,spark,11.4113593101501,170.503013372421,181.914372682571,None,None,None
sort,SF100,spark,10.9581387042999,194.02398109436,204.98211979866,None,None,None
groupby,SF100,spark,10.8932456970215,21.6750614643097,32.5683071613312,None,None,None
columnopassignment,SF100,spark,10.5452802181244,155.879939317703,166.425219535828,None,None,None
join,SF100,spark,11.3127627372742,20.5648016929626,31.8775644302368,None,None,None
selection,SF100,modin,68.8663945198059,89.234888792038,158.101283311844,None,None,None
filter,SF100,modin,62.8465297222138,122.276333808899,185.122863531113,None,None,None
sort,SF100,modin,58.6454315185547,1385.16994667053,1443.81537818909,None,None,None
groupby,SF100,modin,73.5814301967621,162.691451787949,236.272881984711,None,None,None
columnopassignment,SF100,modin,63.2961440086365,57.7301466464996,121.026290655136,None,None,None
selection,SF100,modin,86.7654767036438,91.7509162425995,178.516392946243,None,None,None
selection,SF100,modin,74.4154191017151,98.139892578125,172.55531167984,None,None,None
selection,SF100,modin,69.0913596153259,90.7882494926453,159.879609107971,None,None,None
filter,SF100,modin,66.7487449645996,114.499893665314,181.248638629913,None,None,None
sort,SF100,modin,60.4566979408264,2484.94404530525,2545.40074324608,None,None,None
groupby,SF100,modin,85.4620733261108,127.629004240036,213.091077566147,None,None,None
columnopassignment,SF100,modin,75.5297253131866,50.0469105243683,125.576635837555,None,None,None
selection,SF100,modin,87.2925996780396,56.1844480037689,143.477047681808,None,None,None
filter,SF100,modin,73.606395483017,92.7771775722504,166.383573055267,None,None,None
sort,SF100,modin,67.9114692211151,2334.3185915947,2402.23006081581,None,None,None
groupby,SF100,modin,92.2933800220489,98.334755897522,190.628135919571,None,None,None
columnopassignment,SF100,modin,79.3309762477875,52.1446032524109,131.475579500198,None,None,None
selection,SF100,modin,85.4267370700836,83.0711288452148,168.497865915298,None,None,None
filter,SF100,modin,78.8084371089935,89.0235483646393,167.831985473633,None,None,None
sort,SF100,modin,68.5429880619049,2585.93831920624,2654.48130726814,None,None,None
groupby,SF100,modin,83.8763809204102,134.695730924606,218.572111845016,None,None,None
columnopassignment,SF100,modin,72.5146806240082,49.6459095478058,122.160590171814,None,None,None
selection,SF100,snowpandas,0.672121047973633,94.3932707309723,95.0653917789459,01b47b60-0202-b20a-0002-b506000243d6,15819,404
filter,SF100,snowpandas,0.348901510238647,201.324966907501,201.67386841774,01b47b62-0202-b1fa-0002-b506000223f6,47854,290
sort,SF100,snowpandas,0.22846531867981,463.632939577103,463.861404895783,01b47b65-0202-b20f-0002-b5060002545e,162319,311
groupby,SF100,snowpandas,0.217692852020264,17.8027832508087,18.020476102829,01b47b6d-0202-b20a-0002-b506000243f2,10061,786
selection,SF100,snowpandas,0.318899631500244,95.4368698596954,95.7557694911957,01b47b6f-0202-b210-0002-b506000263f2,15897,336
filter,SF100,snowpandas,0.169336557388306,199.960204124451,200.129540681839,01b47b71-0202-b20a-0002-b50600024406,46413,236
sort,SF100,snowpandas,0.195145606994629,465.636748790741,465.831894397736,01b47b74-0202-b210-0002-b506000263fe,162198,283
groupby,SF100,snowpandas,0.303032875061035,17.31378865242,17.6168215274811,01b47b7c-0202-b20f-0002-b506000254a2,10116,291
selection,SF100,snowpandas,0.490976333618164,96.172212600708,96.6631889343262,01b47b83-0202-b210-0002-b5060002641e,16352,263
filter,SF100,snowpandas,0.177700757980347,194.195889472961,194.373590230942,01b47b85-0202-b20f-0002-b506000254c2,46577,190
sort,SF100,snowpandas,0.185062408447266,461.4439702034,461.629032611847,01b47b88-0202-b1fa-0002-b50600022446,157360,224
groupby,SF100,snowpandas,0.283854484558105,18.3772754669189,18.6611299514771,01b47b90-0202-b20a-0002-b5060002443a,11137,280
selection,SF100,snowpandas,1.04032158851624,93.4164824485779,94.4568040370941,01b47e55-0202-b210-0002-b506000264de,16596,380
filter,SF100,snowpandas,0.300586462020874,195.614258766174,195.914845228195,01b47e56-0202-b20a-0002-b506000244b2,46344,254
sort,SF100,snowpandas,0.233220100402832,468.986887216568,469.220107316971,01b47e5a-0202-b20f-0002-b5060002554e,165288,290
groupby,SF100,snowpandas,0.366764545440674,19.4460940361023,19.812858581543,01b47e61-0202-b20e-0002-b506000214ee,11016,380
columnopassignment,SF100,snowpandas,0.167972326278687,400.17508149147,400.343053817749,01b47e62-0202-b20a-0002-b506000244d6,81386,225
selection,SF100,spark,22.0917348861694,122.815289020538,144.907023906708,None,None,None
filter,SF100,spark,11.5477447509766,167.96072936058,179.508474111557,None,None,None
sort,SF100,spark,11.8611171245575,190.513041496277,202.374158620834,None,None,None
groupby,SF100,spark,11.1786377429962,22.2005941867828,33.3792319297791,None,None,None
columnopassignment,SF100,spark,11.4743804931641,156.67612695694,168.150507450104,None,None,None
join,SF100,spark,13.1111731529236,19.7979459762573,32.9091191291809,None,None,None
selection,SF100,spark,15.2867534160614,99.717125415802,115.003878831863,None,None,None
filter,SF100,spark,11.9445514678955,153.130422592163,165.074974060059,None,None,None
sort,SF100,spark,11.3979580402374,178.178276777267,189.576234817505,None,None,None
groupby,SF100,spark,11.3123760223389,22.0395014286041,33.351877450943,None,None,None
